SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1062 Lindendale Dr,Mt. Lebanon,PA,15243,349000,4,2.5,Mt. Lebanon,1701,24829,1950,7,205,,Active,November-6-2021 11:00 AM,November-6-2021 01:00 PM,http://www.redfin.com/PA/Pittsburgh/1062-Lindendale-Dr-15243/home/74529979,West Penn MLS,1528488,N,Y,40.3729575,-80.0635113
MLS Listing,,Single Family Residential,401 Lorenz Ave,Elliott,PA,15220,120000,3,2.0,Elliott,1290,3920,1920,14,93,,Active,,,http://www.redfin.com/PA/Pittsburgh/401-Lorenz-Ave-15220/home/74535662,West Penn MLS,1527404,N,Y,40.446251,-80.0368144
MLS Listing,,Condo/Co-op,307 S Dithridge St #505,Oakland,PA,15213,319900,2,2.0,Oakland,1505,435,1979,64,213,800,Active,,,http://www.redfin.com/PA/Pittsburgh/307-S-Dithridge-St-15213/unit-505/home/74567811,West Penn MLS,1519593,N,Y,40.445326,-79.949933
MLS Listing,,Single Family Residential,1702 S Hawthorn Ct,Franklin Park,PA,15237,620000,4,3.5,Franklin Park,2958,20473,2013,69,210,30,Active,November-6-2021 12:00 PM,November-6-2021 02:00 PM,http://www.redfin.com/PA/Pittsburgh/1702-S-Hawthorn-Ct-15237/home/74447210,West Penn MLS,1519304,N,Y,40.551826,-80.0769991
MLS Listing,,Condo/Co-op,5226 5th Ave #8,Shadyside,PA,15232,355000,3,2.0,Shadyside,1480,435,1980,72,240,446,Active,,,http://www.redfin.com/PA/Pittsburgh/5226-Fifth-Ave-15232/unit-8/home/74665784,West Penn MLS,1518576,N,Y,40.4477171,-79.9359048
MLS Listing,,Multi-Family (2-4 Unit),5538 Avondale Pl,Highland Park,PA,15206,465000,3,3.0,Highland Park,,2613,1921,87,,,Active,,,http://www.redfin.com/PA/Pittsburgh/5538-Avondale-Pl-15206/home/74742163,West Penn MLS,1515336,N,Y,40.4734978,-79.926951
MLS Listing,,Single Family Residential,414 William St,Mt Washington,PA,15211,825000,4,3.0,Mt Washington,2475,3049,2003,107,333,,Active,,,http://www.redfin.com/PA/Pittsburgh/414-William-St-15211/home/74654535,West Penn MLS,1512105,N,Y,40.4280349,-80.003773
MLS Listing,,Single Family Residential,521 New Texas Rd,Plum Boro,PA,15239,500000,6,2.5,Plum Boro,2416,351964,1908,1,207,,Active,,,http://www.redfin.com/PA/Pittsburgh/521-New-Texas-Rd-15239/home/87812268,West Penn MLS,1529434,N,Y,40.4700225,-79.730304
MLS Listing,,Single Family Residential,35 Norwich Ave,West View,PA,15229,275000,4,2.5,West View,,7840,1920,1,,,Active,,,http://www.redfin.com/PA/Pittsburgh/35-Norwich-Ave-15229/home/74568031,West Penn MLS,1529153,N,Y,40.5183561,-80.0229042
MLS Listing,,Single Family Residential,117 Harding Rd,Ross Twp,PA,15229,299000,3,3.0,Ross Twp,1780,12632,1958,1,168,,Active,,,http://www.redfin.com/PA/West-View/117-Harding-Rd-15229/home/74594050,West Penn MLS,1528897,N,Y,40.5290982,-80.0364857
